# created: Mon Mar  6 00:50:10 UTC 2023
# script: dump_operator_info
NAME                                                 NAMESPACE                                   CATALOG_SOURCE        SOURCE_NAMESPACE        DEFAULT_CHANNEL                      CHANNELS                                                                                                                                                                      NS_OWN   NS_SINGLE   NS_MULTI   NS_ALL   DISPLAY_NAME
container-security-operator                          <none>                                      redhat-operators      openshift-marketplace   stable-3.8                           quay-v3.4,quay-v3.5,stable-3.6,stable-3.7,stable-3.8                                                                                                                          true     true        true       true     Quay Container Security
contrail-k8s-deployer                                <none>                                      certified-operators   openshift-marketplace   22.3.0                               22.3.0                                                                                                                                                                        false    false       false      true     contrail-k8s-deployer
coralogix-operator                                   <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     Coralogix Operator
costmanagement-metrics-operator                      costmanagement-metrics-operator             redhat-operators      openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    Cost Management Metrics Operator
couchbase-enterprise-certified                       <none>                                      certified-operators   openshift-marketplace   stable                               2.2.4,2.3.1,2.3.2,2.4.0,stable                                                                                                                                                true     true        false      true     Couchbase Operator
couchbase-enterprise-certified-rhmp                  <none>                                      redhat-marketplace    openshift-marketplace   stable                               2.3.1,2.3.2,2.4.0,stable                                                                                                                                                      true     true        false      true     Couchbase Operator
couchdb-operator-certified                           <none>                                      certified-operators   openshift-marketplace   v2.2                                 stable,v2.2                                                                                                                                                                   true     true        true       true     Operator for Apache CouchDB
crunchy-postgres-operator                            <none>                                      certified-operators   openshift-marketplace   v5                                   stable,v5                                                                                                                                                                     true     true        true       false    Crunchy PostgreSQL for OpenShift
crunchy-postgres-operator-rhmp                       <none>                                      redhat-marketplace    openshift-marketplace   v5                                   v5                                                                                                                                                                            true     true        false      true     Crunchy Postgres for Kubernetes
cryostat-operator                                    <none>                                      redhat-operators      openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    Red Hat build of Cryostat
datadog-operator                                     <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      true     Datadog Operator
datadog-operator-certified                           <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      true     Datadog Operator
datadog-operator-certified-rhmp                      <none>                                      redhat-marketplace    openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      true     Datadog Operator
datagrid                                             <none>                                      redhat-operators      openshift-marketplace   8.4.x                                8.2.x,8.3.x,8.4.x                                                                                                                                                             true     true        true       true     Data Grid
datatrucker-operator                                 <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     DataTrucker.IO
dell-csi-operator                                    <none>                                      community-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      true     Dell CSI Operator
dell-csi-operator-certified                          <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      true     Dell CSI Operator
dell-csm-operator                                    <none>                                      community-operators   openshift-marketplace   stable                               alpha,stable                                                                                                                                                                  true     true        false      true     Dell Container Storage Modules
dell-csm-operator-certified                          <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      true     Dell Container Storage Modules
deployment-validation-operator                       <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      true     Deployment Validation Operator
devopsinabox                                         <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     Devops-in-a-box
devspaces                                            openshift-operators                         redhat-operators      openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     Red Hat OpenShift Dev Spaces
devworkspace-operator                                <none>                                      redhat-operators      openshift-marketplace   fast                                 fast                                                                                                                                                                          false    false       false      true     DevWorkspace Operator
dpu-network-operator                                 <none>                                      redhat-operators      openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     DPU Network Operator
dynatrace-operator                                   dynatrace                                   community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     Dynatrace Operator
dynatrace-operator                                   dynatrace                                   certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     Dynatrace Operator
dynatrace-operator-rhmp                              dynatrace                                   redhat-marketplace    openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     Dynatrace Operator
eamli-operator-rhmp                                  eamli                                       redhat-marketplace    openshift-marketplace   stable                               stable                                                                                                                                                                        true     false       false      false    eamli
eap                                                  <none>                                      redhat-operators      openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      true     JBoss EAP
eclipse-amlen-operator                               <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     false       false      true     eclipse-amlen-operator
eclipse-che                                          openshift-operators                         community-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     Eclipse Che
ecr-secret-operator                                  ecr-secret-operator                         community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        true       true     ECR Secret Operator
edp-keycloak-operator                                <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      false    EDP Keycloak Operator
eginnovations-operator                               <none>                                      certified-operators   openshift-marketplace   beta                                 beta                                                                                                                                                                          false    false       false      true     eG Innovations Universal Agent Operator
eginnovations-operator                               <none>                                      community-operators   openshift-marketplace   beta                                 beta,candidate                                                                                                                                                                false    false       false      true     eG Innovations Universal Agent Operator
egressip-ipam-operator                               egressip-ipam-operator                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     Egressip Ipam Operator
elasticsearch-eck-operator-certified                 <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        true       true     Elasticsearch (ECK) Operator
elasticsearch-operator                               openshift-operators-redhat                  redhat-operators      openshift-marketplace   stable                               stable,stable-5.3,stable-5.4,stable-5.5,stable-5.6                                                                                                                            true     false       false      true     OpenShift Elasticsearch Operator
ember-csi-community-operator                         <none>                                      community-operators   openshift-marketplace   beta                                 beta                                                                                                                                                                          true     true        true       false    Ember CSI Operator
entando-k8s-operator                                 <none>                                      certified-operators   openshift-marketplace   stable                               alpha,beta,stable                                                                                                                                                             true     true        true       true     Entando Operator
entando-k8s-operator-rhmp                            <none>                                      redhat-marketplace    openshift-marketplace   stable                               alpha,beta,stable                                                                                                                                                             true     true        true       true     Entando Operator
enterprise-kyverno                                   <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     EnterpriseKyverno
enterprise-kyverno-rhmp                              <none>                                      redhat-marketplace    openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     EnterpriseKyverno
etcd                                                 <none>                                      community-operators   openshift-marketplace   singlenamespace-alpha                alpha,clusterwide-alpha,singlenamespace-alpha                                                                                                                                 true     true        false      true     etcd
eventing-kogito                                      <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     Kogito Knative Eventing Source
external-dns-operator                                external-dns-operator                       redhat-operators      openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      false    ExternalDNS Operator
external-secrets-operator                            <none>                                      community-operators   openshift-marketplace   alpha                                alpha,stable                                                                                                                                                                  true     true        true       true     External Secrets Operator
f5-bigip-ctlr-operator                               <none>                                      certified-operators   openshift-marketplace   beta                                 alpha,beta                                                                                                                                                                    true     true        true       true     F5 Container Ingress Services
f5-ipam-controller-operator                          <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     F5 Ipam controller
falcon-operator                                      falcon-operator                             community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      true     CrowdStrike Falcon Platform - Operator
falcon-operator-rhmp                                 falcon-operator                             redhat-marketplace    openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      true     CrowdStrike Falcon Platform - Operator
federatorai-certified                                federatorai                                 certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    Federator.ai
file-integrity-operator                              openshift-file-integrity                    redhat-operators      openshift-marketplace   v1                                   4.7,release-0.1,v1                                                                                                                                                            true     true        false      false    File Integrity Operator
flink-kubernetes-operator                            <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        true       true     Flink Kubernetes Operator
flux                                                 flux-system                                 community-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        true       true     Flux
flux                                                 flux-system                                 redhat-marketplace    openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        true       true     Flux
forklift-operator                                    konveyor-forklift                           community-operators   openshift-marketplace   stable-v2.3                          stable-v2.3                                                                                                                                                                   true     false       false      false    Forklift Operator
fossul-operator                                      <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        true       true     Fossul Operator
fpga-dfl-operator                                    <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     Fpga Dfl operator
fujitsu-enterprise-operator                          <none>                                      certified-operators   openshift-marketplace   stable-13                            stable-13                                                                                                                                                                     true     true        true       false    FUJITSU Enterprise Postgres 13 Operator
fujitsu-enterprise-postgres-operator                 <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        true       false    FUJITSU Enterprise Postgres Operator
function-mesh                                        <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     Function Mesh Operator
fuse-apicurito                                       <none>                                      redhat-operators      openshift-marketplace   fuse-apicurito-7.11.x                fuse-apicurito-7.10.x,fuse-apicurito-7.11.x,fuse-apicurito-7.9.x                                                                                                              true     true        false      false    Red Hat Integration - API Designer
fuse-console                                         <none>                                      redhat-operators      openshift-marketplace   7.11.x                               7.10.x,7.11.x,7.9.x                                                                                                                                                           true     true        false      false    Red Hat Integration - Fuse Console
fuse-online                                          <none>                                      redhat-operators      openshift-marketplace   latest                               7.10.x,7.11.x,7.9.x,candidate,latest,stable                                                                                                                                   true     true        false      false    Red Hat Integration - Fuse Online
fusion-analytics-operator                            <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     FusionAnalytics Operator
gatekeeper-operator-product                          <none>                                      redhat-operators      openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     Gatekeeper Operator
github-arc-operator                                  <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     github-arc-operator
gitlab-operator-kubernetes                           gitlab-system                               community-operators   openshift-marketplace   stable                               stable,unstable                                                                                                                                                               true     false       false      false    GitLab
gitlab-operator-kubernetes                           gitlab-system                               certified-operators   openshift-marketplace   stable                               stable,unstable                                                                                                                                                               true     false       false      false    GitLab
gitlab-runner-operator                               <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     false       false      true     GitLab Runner
gitlab-runner-operator                               <none>                                      community-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     false       false      true     GitLab Runner
gitops-primer                                        gitops-primer-system                        community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     gitops-primer
gitwebhook-operator                                  gitwebhook-operator                         community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     GitWebhook operator
global-load-balancer-operator                        global-load-balancer-operator               community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     Global Load Balancer Operator
gpu-operator-certified                               nvidia-gpu-operator                         certified-operators   openshift-marketplace   v22.9                                stable,v1.10,v1.11,v22.9                                                                                                                                                      true     true        false      false    NVIDIA GPU Operator
grafana-cloud-log-forwarder-operator                 openshift-logging                           certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      false    Grafana Cloud Log Forwarder
grafana-operator                                     <none>                                      community-operators   openshift-marketplace   v4                                   v4                                                                                                                                                                            true     true        false      false    Grafana Operator
group-sync-operator                                  group-sync-operator                         community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      false    Group Sync Operator
hawtio-operator                                      <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      false    Hawtio Operator
hazelcast-platform-operator                          <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     false       false      false    Hazelcast Platform Operator
hazelcast-platform-operator                          <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     false       false      false    Hazelcast Platform Operator
hedvig-operator                                      <none>                                      community-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    Hedvig Operator
hive-operator                                        <none>                                      community-operators   openshift-marketplace   alpha                                alpha,mce-2.0,ocm-2.3,ocm-2.4                                                                                                                                                 true     true        true       true     Hive for Red Hat OpenShift
horreum-operator                                     <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      true     Horreum
hpe-csi-operator                                     <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    HPE CSI Operator for Kubernetes
hpe-ezmeral-csi-operator                             <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    HPE Ezmeral Data Fabric CSI Operator for Kubernetes
hspc-operator                                        <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    Hitachi Storage Plug-in for Containers
hyperfoil-bundle                                     <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      true     Hyperfoil
ibm-application-gateway-operator                     <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     IBM Application Gateway Operator
ibm-block-csi-operator                               <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    IBM block storage CSI driver operator
ibm-block-csi-operator-community                     <none>                                      community-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    IBM block storage CSI driver operator
ibm-security-verify-access-operator                  <none>                                      community-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     IBM Security Verify Access Operator
ibm-security-verify-directory-operator               <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     IBM Security Verify Directory
ibm-security-verify-operator                         <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     IBM Security Verify Operator
ibm-spectrum-scale-csi-operator                      <none>                                      community-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    IBM Spectrum Scale CSI Plugin Operator
ibm-storage-odf-operator                             <none>                                      certified-operators   openshift-marketplace   stable-v1.1                          stable-v1.1                                                                                                                                                                   true     true        false      false    IBM Storage ODF operator
ibmcloud-operator                                    <none>                                      community-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     false       false      true     IBM Cloud Operator
ibmz-mongodb-ee-operator                             <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     IBMz Mongodb EE operator 5.0
ibmz-mongodb-enterprise-operator                     <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     ibmz-mongodb-enterprise-operator
idp-mgmt-operator-product                            idp-mgmt-config                             redhat-operators      openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      false    identity configuration management for Kubernetes
infinibox-operator-certified                         <none>                                      certified-operators   openshift-marketplace   stable                               alpha,stable                                                                                                                                                                  false    false       false      true     InfiniBox CSI Driver - Operator
infinispan                                           <none>                                      community-operators   openshift-marketplace   2.3.x                                2.2.x,2.3.x                                                                                                                                                                   true     true        true       true     Infinispan Operator
infoscale-dr-manager                                 infoscale-vtas                              certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     InfoScale™ DR Manager
infoscale-licensing-operator                         infoscale-vtas                              certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     InfoScale™ Licensing Operator
infoscale-operator                                   infoscale-vtas                              certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     InfoScale™ SDS Operator
infoscale-sds-operator                               infoscale-vtas                              certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     InfoScale™ SDS Operator
infrastructure-asset-orchestrator-certified          <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    Infrastructure Asset Orchestrator
